Id,Sales
1,4640.465
2,7546.785
3,9923.944
4,7542.748
5,7331.1387
6,5967.347
7,7864.201
8,8029.37
9,5606.8984
10,5545.456
11,7436.7935
12,8420.85
13,7240.894
14,9429.27
15,5880.0864
16,4987.4624
17,5794.687
18,10036.771
19,11075.912
20,9742.603
21,7863.751
22,4387.7334
23,6258.757
24,4514.7954
25,8297.313
26,10906.791
27,9731.523
28,6006.2407
29,5084.566
30,4688.911
31,5855.0356
32,10072.628
33,6957.7188
34,5779.033
35,5311.536
36,7746.495
37,3858.2285
38,7644.1504
39,4551.207
40,7242.78
41,7008.0444
42,5958.0596
43,8345.155
44,6866.043
45,5085.8413
46,6917.9087
47,7848.6675
48,11763.567
49,6504.164
50,8547.83
51,8005.924
52,9473.549
53,6940.598
54,9409.236
55,4768.776
56,5172.367
57,6260.13
58,6626.365
59,9499.662
60,8199.109
61,5851.9927
62,8234.549
63,6896.0566
64,10180.2295
65,4066.7153
66,13580.428
67,4838.1445
68,6266.2236
69,8423.861
70,5198.6763
71,6365.0273
72,6410.5283
73,7918.937
74,5659.4204
75,5499.187
76,8275.657
77,8225.326
78,6978.808
79,5342.5264
80,7557.792
81,11854.753
82,6973.6245
83,5060.3594
84,7211.45
85,6417.288
86,5849.716
87,7739.7964
88,4018.4355
89,8307.607
90,6410.4795
91,7283.0557
92,8694.247
93,4460.2017
94,5943.0073
95,5250.3594
96,8570.239
97,8824.197
98,5504.54
99,5493.441
100,7375.795
101,6242.7725
102,5733.156
103,7517.7964
104,6652.3926
105,7960.565
106,5902.941
107,4765.011
108,6493.1123
109,8705.233
110,8146.275
111,8437.596
112,8236.945
113,5895.4966
114,9120.418
115,5709.858
116,6937.686
117,9606.383
118,6668.7007
119,10373.604
120,8391.048
121,7836.4
122,6224.964
123,7529.8164
124,8079.6353
125,6619.8394
126,4045.7053
127,5633.8745
128,8007.8633
129,6236.791
130,4388.667
131,8542.695
132,6784.719
133,6002.346
134,6059.4966
135,5641.9897
136,7431.454
137,7522.681
138,6819.787
139,5779.0938
140,5403.674
141,6972.773
142,4025.4797
143,6605.824
144,5546.419
145,9027.306
146,7618.05
147,6714.015
148,12043.659
149,5298.8193
150,5362.6626
151,10494.284
152,6786.376
153,8766.725
154,7763.996
155,6051.93
156,6577.431
157,5816.3555
158,8259.603
159,11750.426
160,6879.029
161,3365.3616
162,4905.269
163,8810.011
164,9065.148
165,6517.5474
166,6927.232
167,5117.472
